topic_id,top_terms,size
0,"yang, tidak, itu, dan, di, ada, dari, jadi, bisa, nya, tapi, juga",3604
4,"ini, video, video ini, saya, nonton, harus, di, negara ini, orang, yang, share, semua",1254
3,"kita, bersatu, negara, mari, harus, mari kita, negara kita, jangan, nkri, ayo, kita bersatu, kita harus",1200
6,"indonesia, rakyat, rakyat indonesia, dan, semoga, untuk, bangsa, tuhan, maju, negara, di indonesia, untuk indonesia",873
9,"singapura, singapore, di, ke, amerika, aja, sell, ke singapura, perang, di singapura, sell singapura, indo",761
5,"prabowo, pak prabowo, pak, sehat, selalu, presiden, sehat selalu, dan, saya, presiden prabowo, prabowo dan, semoga",649
1,"pak gema, pak, gema, terimakasih, keren, terimakasih pak, sehat, keren pak, selalu, thanks, kasih pak, gema dan",507
2,"prof, prof gema, gema, sehat, selalu, sehat selalu, terimakasih prof, terimakasih, selalu prof, sangat, makasih, luar biasa",446
8,"antek, asing, antek asing, antek antek, asing yang, muncul, dan antek, penghianat, soros, hei, bangsa, domba",335
7,"terima, terima kasih, kasih, kasih pak, kasih prof, pencerahannya, atas, kasih pencerahannya, kasih atas, kasih banyak, banyak, atas penjelasannya",185
