"video_part","video_url","video_id","video_title","channel_title","comment_id","parent_id","author_display_name","comment_text","like_count","reply_count","published_at","updated_at","is_reply","collected_at"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg","","@astronacciinternational","Di tengah situasi ekonomi dan geopolitik yang semakin panas, rakyat Indonesia perlu melihat kondisi ini dengan lebih jernih.

Video ini membahas tentang kedaulatan negara, tekanan ekonomi, pola sejarah, dan pentingnya rakyat tetap bersatu dalam menghadapi situasi yang penuh ketidakpastian.

Tonton sampai selesai untuk melihat perspektif besarnya.

Dapatkan rekomendasi trading dari Master Gema di sini: https://astronacci.org/tradingsinyal","414","54","2026-05-20T08:25:54Z","2026-05-20T08:28:37Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugxh7oWng4yZEaDJ-A54AaABAg","","@rind_7934","Beruntunglah kalian yang bisa melihat video ini","772","29","2026-05-20T08:55:47Z","2026-05-20T08:55:47Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwTjFr0ISrJKy52QsV4AaABAg","","@GajahMerahofficial","Ga lama setelah pak Pur menolak tawaran pinjaman dana dari IMF.... Boom Rupiah terjun bebas.... Musuh kita nyata Sob, jangan mau di adu domba!! Rusuh sampai terulang 98 itu agenda Utama mereka!! Endingnya jelas SDA diambil alih Asing dan antek-anteknya!!!","60","3","2026-05-21T08:54:44Z","2026-05-21T08:54:44Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugwf05tpNSwViGtFkOZ4AaABAg","","@farrosabdullah3964","Barisan yang percaya pemerintahan sekarang sedang terus berupaya memperbaiki negri ini🇮🇩","560","36","2026-05-22T01:55:43Z","2026-05-22T01:55:43Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugxh75CWSIPoP6MXLxx4AaABAg","","@irwansyahbanadaulay2715","Mohon peran clipper dengan video ini, buktikan kalian cinta NkRI😢","166","5","2026-05-21T10:28:51Z","2026-05-21T10:28:51Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwhuPNUifju0ma2ne94AaABAg","","@CaturBudi-t2o","Sayangnya, 95% orang indonesia males dengerin video 25 menit. 95% orang sini suka liat video"" potongan, baca berita"" kgk jelas, dll","407","22","2026-05-21T10:13:37Z","2026-05-21T10:13:37Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgyolNF6GCdc-4a_LVF4AaABAg","","@yogoanggara7933","PAK GEMA saya tau anda terlalu baik dan tulus mengkritik negeri ini dengan hati nurani. Padahal bapak sudah kaya raya gk ngefek juga kalau negara ini ambruk . Tpi karena bapak peduli dengan nasib negara ini mau gk mau harus ngomong walaupun saya tau ini konten resiko tinggi . Tetap semangat pak Gema","495","18","2026-05-20T08:34:34Z","2026-05-20T08:37:33Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwHZZIn1x_NCNvWCP54AaABAg","","@irvanhanafi9223","Damnnn!!😮 Aku sangat bersyukur prof.gema lahir di Indonesia dengan hati nurani yang baik dan keberanian sangat sangat tinggi..dan mengedukasi logika yang nyata...i proud of you prof..tuhan melindungi prof","20","0","2026-05-21T01:57:34Z","2026-05-21T01:57:34Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugxvh2bPc8mw2sT4GKt4AaABAg","","@bihoz8554","Jangan biarkan Pak Prabowo sendirian menjaga kedaulatan negara ini guys 😢","366","25","2026-05-20T20:51:07Z","2026-05-20T20:51:07Z","False","2026-06-16 06:31:44 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgxQTFbFbxo3xJcNyit4AaABAg","","@agustinamaria3776","Mari kita tetap bersatu jgn mudah diadudomba oleh asing.Kita tegakkan perekonomian kita.Jgn gampang diprovokasi oleh oknum2 yg ingin menjatuhkan negara kita.Trimakasih pak Gema.Semoga Tuhan Yang Maha Kuasa menjaga tanah air kita Indonesia yg kita cintai ini.Amin...Amin..
Amin.","26","0","2026-05-21T15:30:37Z","2026-05-21T15:34:16Z","False","2026-06-16 06:31:44 UTC"
