"video_part","video_url","video_id","video_title","channel_title","comment_id","parent_id","author_display_name","comment_text","like_count","reply_count","published_at","updated_at","is_reply","comment_level","collected_at"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX10GrWFoye","UgwpVey8XZTn6TT3QX54AaABAg","@Nusantaraberjaya-t4o","Mbg buat suapin mulut yang lain juga pak","2","0","2026-05-20T09:04:44Z","2026-05-20T09:04:44Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX15kW65l6d","UgwpVey8XZTn6TT3QX54AaABAg","@Triasihprasetyo","GK ada program yg TDK di .   ...","2","0","2026-05-20T09:52:36Z","2026-05-20T09:52:36Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX15yvxAIBW","UgwpVey8XZTn6TT3QX54AaABAg","@ScreenFiend-h4i","Bukan dibully, dia itu memang penghianat dari dulu, media asing pun juga mengakui!

https://www.youtube.com/watch?v=tx35KRYbf1g&t=4s","1","0","2026-05-20T09:54:34Z","2026-05-20T09:54:34Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX16cr352mt","UgwpVey8XZTn6TT3QX54AaABAg","@tangkasrespati9624","Nice Om, Videonya sangat tepat. Cara berfikir Anda seperti Inteljen. pola selalu berulang.","5","0","2026-05-20T10:00:18Z","2026-05-20T10:00:18Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX18uNXOjxE","UgwpVey8XZTn6TT3QX54AaABAg","@levi6254","mungkin ada benarnya, tp prabowo jg tak sanggup atau tidak terlihat ingin  membersihkan para koruptor disekililingnya, dan menghamburkan uang yg tidak perlu.❤","3","0","2026-05-20T10:20:10Z","2026-05-20T10:20:10Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX19j1USSsp","UgwpVey8XZTn6TT3QX54AaABAg","@paitungundul8747","​@ScreenFiend-h4i anda tahu sebenarnya bahwa Prabowo dpt itu? Apa anda dengar dari katanya saja?","0","0","2026-05-20T10:27:21Z","2026-05-20T10:27:21Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX1AOm3LJHu","UgwpVey8XZTn6TT3QX54AaABAg","@ScreenFiend-h4i","@paitungundul8747 Sudah anda nonton video yang saya sharing? Anda juga sudah lihat moment ""hot mic"" tertangkap kamera ketika dia berkunjung bertemu Trump??? Apakah anda juga tahu dia berbohong depan kamera, depan publik di acara Kick Andy ketika dia dikonfirmasi perihal kejadian dia marah dengan alm. Bj Habibie???","0","0","2026-05-20T10:33:11Z","2026-05-20T10:35:18Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX1CZR-__FY","UgwpVey8XZTn6TT3QX54AaABAg","@darkris2986","Intinya imun tubuh yang lemah gampang terserang penyakit😅","2","0","2026-05-20T10:52:07Z","2026-05-20T10:52:07Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX1DEB8V4o_","UgwpVey8XZTn6TT3QX54AaABAg","@dickyhadinata9155","@ScreenFiend-h4i media asing di dengerin dongo sih","2","0","2026-05-20T10:57:57Z","2026-05-20T10:57:57Z","True","reply","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg.AX0wpPmHq9QAX1DKc3phng","UgwpVey8XZTn6TT3QX54AaABAg","@dickyhadinata9155","@levi6254 sanggup dan ingin kalo lu bisa sebutakan dan buktikan silahkan di buktin dia di 1 tahun pertama 90 kasus korupsi terkuak","0","0","2026-05-20T10:58:50Z","2026-05-20T10:58:50Z","True","reply","2026-06-16 07:16:21 UTC"
