"video_part","video_url","video_id","video_title","channel_title","comment_id","parent_id","author_display_name","comment_text","like_count","reply_count","published_at","updated_at","is_reply","comment_level","collected_at"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwpVey8XZTn6TT3QX54AaABAg","","@astronacciinternational","Di tengah situasi ekonomi dan geopolitik yang semakin panas, rakyat Indonesia perlu melihat kondisi ini dengan lebih jernih.

Video ini membahas tentang kedaulatan negara, tekanan ekonomi, pola sejarah, dan pentingnya rakyat tetap bersatu dalam menghadapi situasi yang penuh ketidakpastian.

Tonton sampai selesai untuk melihat perspektif besarnya.

Dapatkan rekomendasi trading dari Master Gema di sini: https://astronacci.org/tradingsinyal","414","54","2026-05-20T08:25:54Z","2026-05-20T08:28:37Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugzj-CpH6au7y2dG6Hp4AaABAg","","@AdnanErlansyah-nx7xp","Solusi pertama berantas tuntas korupsi dlu udh. Negara ini udh terlalu miskin karena byk nya korupsi jg, ya gmana mau jd negara maju kalo korupsi nya udh kek kegiatan sehari-hari.","0","0","2026-06-16T03:24:18Z","2026-06-16T03:24:18Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgxmRrPZnhtwJfy8IMp4AaABAg","","@sokwanaryanto","liat di ig... dri kmaren""... baru sempet liat fullnya...
gila bner skenarionya....😵‍💫😵‍💫😵‍💫🔥🔥🔥semoga masyarakat kita mampu memahami situasi yang terjadi sekarang ini....dan bisa berfikir sehat dan jernih....","0","0","2026-06-16T00:01:56Z","2026-06-16T00:01:56Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugx2GUyXXJE-X9jV0XF4AaABAg","","@NitaHamnita","Mantap penjelasannya ...","0","0","2026-06-15T23:23:16Z","2026-06-15T23:23:16Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgyRzBvyZts_61bAGgZ4AaABAg","","@andanapratama6594","Sayangnya banyak yg lebih suka nonton video potongan yg menjelek-jelekan pemerintah","0","0","2026-06-15T15:38:25Z","2026-06-15T15:38:25Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwXjkrlx2t6mTcM9_Z4AaABAg","","@AlfarizkiYogi","Saya percaya dokter gema karena itulah yang saya yakini dari dulu, saya juga percaya pemerintah","0","0","2026-06-15T11:59:26Z","2026-06-15T11:59:26Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgyRSZaMYavyrPKslM94AaABAg","","@muslih5380","Salfok sama logo mata satu😅😅😅","0","0","2026-06-15T10:33:36Z","2026-06-15T10:33:36Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgxE3SvYORUfps9zWtt4AaABAg","","@ang6668","pertanyaan orang awam nih ... peran mas Gibran apa di cerita ini ???","0","0","2026-06-15T07:42:33Z","2026-06-15T07:42:33Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","Ugxak9p85uDSEAn7D4F4AaABAg","","@Minerva_Leon","God Bless You, Sir..","0","0","2026-06-15T01:48:32Z","2026-06-15T01:48:32Z","False","top_level","2026-06-16 07:16:21 UTC"
"Part 1","https://youtu.be/K8EKqxU-UwM?si=jLs4dyJ1mbPBdQQS","K8EKqxU-UwM","WARNING!! CHAOS 1998 TERULANG?? KITA SEDANG PERANG KEDAULATAN! RAKYAT BERSATU!","Astronacci","UgwA8VI4mlvB3FWe5Qt4AaABAg","","@hamdanicitizens4447","jaga diri prof gema ngeri dapet ancaman","0","0","2026-06-14T22:32:18Z","2026-06-14T22:32:18Z","False","top_level","2026-06-16 07:16:21 UTC"
